"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0007064","mitotic sister chromatid cohesion","6/215","31/18860",0.193548387096774,16.9782445611403,9.56078715026733,1.18781477023351e-06,2.17914890178179e-05,1.84259354939271e-05,"CDC20/CDCA5/BUB1/SGO1/DSCC1/ESCO2",6
"GO:0006302","double-strand break repair","16/215","334/18860",0.0479041916167665,4.20220025066147,6.34056935128337,1.52638802384951e-06,2.77939311805433e-05,2.35013395659469e-05,"PLK1/FOXM1/RAD51AP1/CDCA5/PARPBP/ESCO2/RAD51/CDC45/CHEK1/GINS2/MCM4/GINS4/RAD54L/POLQ/TRIP13/UHRF1",16
"GO:0031570","DNA integrity checkpoint signaling","10/215","126/18860",0.0793650793650794,6.96197858988557,7.21037401735678,1.83285015942733e-06,3.31270695481681e-05,2.80108094540162e-05,"PLK1/RAD51/ORC1/CDC45/CHEK1/CDK1/TICRR/CDC6/CDT1/CLSPN",10
"GO:0032506","cytokinetic process","7/215","52/18860",0.134615384615385,11.8085867620751,8.38101548700493,1.96427668139347e-06,3.52414345779417e-05,2.97986245784149e-05,"RACGAP1/CEP55/AURKB/KIF20A/ECT2/ANLN/IQGAP3",7
"GO:0051347","positive regulation of transferase activity","11/215","161/18860",0.0683229813664596,5.99335548172758,6.83271959974632,2.44451039713645e-06,4.35372654672478e-05,3.68132184278713e-05,"PLK1/TPX2/CDC20/DSCC1/KIF14/UBE2S/CENPE/ECT2/UBE2C/CLSPN/CALCA",11
"GO:0000724","double-strand break repair via homologous recombination","12/215","195/18860",0.0615384615384615,5.39821109123435,6.62943847273524,2.54510711010914e-06,4.47723513918101e-05,3.78575533770267e-05,"PLK1/RAD51AP1/PARPBP/RAD51/CDC45/CHEK1/GINS2/MCM4/GINS4/RAD54L/POLQ/UHRF1",12
"GO:0044818","mitotic G2/M transition checkpoint","7/215","54/18860",0.12962962962963,11.3712316968131,8.19551721814261,2.55055608338591e-06,4.47723513918101e-05,3.78575533770267e-05,"PLK1/ORC1/CHEK1/CDK1/TICRR/CDC6/CLSPN",7
"GO:2001252","positive regulation of chromosome organization","9/215","105/18860",0.0857142857142857,7.51893687707641,7.19300326511576,3.20712520672264e-06,5.53826007059488e-05,4.68291188022691e-05,"NCAPG/NEK2/NCAPH/SKA3/AURKB/BUB1/SKA1/CDK1/NCAPG2",9
"GO:0051447","negative regulation of meiotic cell cycle","5/215","21/18860",0.238095238095238,20.8859357696567,9.79093399953749,3.22277694142642e-06,5.53826007059488e-05,4.68291188022691e-05,"TTK/KNL1/ZWINT/TRIP13/PKMYT1",5
"GO:0033313","meiotic cell cycle checkpoint signaling","4/215","10/18860",0.4,35.0883720930233,11.5783840511057,3.26848135313796e-06,5.53826007059488e-05,4.68291188022691e-05,"TTK/KNL1/ZWINT/TRIP13",4
"GO:0044837","actomyosin contractile ring organization","4/215","10/18860",0.4,35.0883720930233,11.5783840511057,3.26848135313796e-06,5.53826007059488e-05,4.68291188022691e-05,"RACGAP1/ECT2/ANLN/IQGAP3",4
"GO:1902423","regulation of attachment of mitotic spindle microtubules to kinetochore","4/215","10/18860",0.4,35.0883720930233,11.5783840511057,3.26848135313796e-06,5.53826007059488e-05,4.68291188022691e-05,"AURKB/BIRC5/CDCA8/CDK1",4
"GO:0044843","cell cycle G1/S phase transition","14/215","275/18860",0.0509090909090909,4.46579281183932,6.21705954913225,3.47616876257926e-06,5.84955295220235e-05,4.94612760410552e-05,"CCNA2/CCNB1/CCNB2/CDKN3/KIF14/CDC25A/FAM83D/RRM2/CDK1/CDC6/E2F7/EIF4EBP1/CCNE1/IQGAP3",14
"GO:2000241","regulation of reproductive process","12/215","206/18860",0.058252427184466,5.10995710092572,6.369161762543,4.49059153275912e-06,7.50482420543305e-05,6.34575299510301e-05,"AURKA/CDC20/RAD51AP1/CDC25C/TTK/CDC25A/KNL1/ASPM/ZWINT/TRIP13/PKMYT1/PAEP",12
"GO:0007077","mitotic nuclear membrane disassembly","4/215","11/18860",0.363636363636364,31.8985200845666,11.007462907901,5.09029778421081e-06,8.22538184998303e-05,6.95502520533509e-05,"PLK1/CDC25A/CHEK1/CDK1",4
"GO:0031055","chromatin remodeling at centromere","4/215","11/18860",0.363636363636364,31.8985200845666,11.007462907901,5.09029778421081e-06,8.22538184998303e-05,6.95502520533509e-05,"CENPA/HJURP/CENPW/CENPI",4
"GO:0033314","mitotic DNA replication checkpoint signaling","4/215","11/18860",0.363636363636364,31.8985200845666,11.007462907901,5.09029778421081e-06,8.22538184998303e-05,6.95502520533509e-05,"ORC1/TICRR/CDC6/CLSPN",4
"GO:0034080","CENP-A containing chromatin assembly","4/215","11/18860",0.363636363636364,31.8985200845666,11.007462907901,5.09029778421081e-06,8.22538184998303e-05,6.95502520533509e-05,"CENPA/HJURP/CENPW/CENPI",4
"GO:0051987","positive regulation of attachment of spindle microtubules to kinetochore","4/215","11/18860",0.363636363636364,31.8985200845666,11.007462907901,5.09029778421081e-06,8.22538184998303e-05,6.95502520533509e-05,"CCNB1/AURKB/BIRC5/CDCA8",4
"GO:0000082","G1/S transition of mitotic cell cycle","13/215","246/18860",0.0528455284552846,4.63565891472868,6.16351131423687,5.21611649771498e-06,8.37323964106878e-05,7.08004732376825e-05,"CCNA2/CCNB1/CCNB2/CDKN3/KIF14/CDC25A/RRM2/CDK1/CDC6/E2F7/EIF4EBP1/CCNE1/IQGAP3",13
"GO:0071459","protein localization to chromosome, centromeric region","6/215","41/18860",0.146341463414634,12.8372093023256,8.14779981812295,6.59633373325597e-06,0.000105196433393102,8.89495295299739e-05,"CENPA/BUB1B/AURKB/TTK/CDK1/KNL1",6
"GO:0000727","double-strand break repair via break-induced replication","4/215","12/18860",0.333333333333333,29.2403100775194,10.5081149214282,7.56725386321826e-06,0.00011989674952112,0.000101379477593355,"CDC45/GINS2/MCM4/GINS4",4
"GO:0040001","establishment of mitotic spindle localization","6/215","42/18860",0.142857142857143,12.531561461794,8.0338440579397,7.62301177412262e-06,0.000120000959541027,0.000101467593054535,"CENPA/PLK1/ESPL1/MAD2L1/NDC80/SAPCD2",6
"GO:0051438","regulation of ubiquitin-protein transferase activity","5/215","26/18860",0.192307692307692,16.8694096601073,8.69507892964272,9.94525419470066e-06,0.000155553975865831,0.000131529677608727,"PLK1/CDC20/MAD2L1/UBE2S/UBE2C",5
"GO:0007144","female meiosis I","4/215","13/18860",0.307692307692308,26.9910554561717,10.0663457508733,1.08328898595723e-05,0.000166240573945638,0.000140565800230134,"AURKA/CCNB2/NDC80/TRIP13",4
"GO:0051443","positive regulation of ubiquitin-protein transferase activity","4/215","13/18860",0.307692307692308,26.9910554561717,10.0663457508733,1.08328898595723e-05,0.000166240573945638,0.000140565800230134,"PLK1/CDC20/UBE2S/UBE2C",4
"GO:1903490","positive regulation of mitotic cytokinesis","4/215","13/18860",0.307692307692308,26.9910554561717,10.0663457508733,1.08328898595723e-05,0.000166240573945638,0.000140565800230134,"AURKB/BIRC5/CDCA8/ECT2",4
"GO:0045143","homologous chromosome segregation","7/215","68/18860",0.102941176470588,9.03009575923392,7.12337889319105,1.21989906591526e-05,0.000186034607552078,0.000157302774289074,"PLK1/ESPL1/KNL1/ZWINT/TRIP13/PTTG1/CCNE1",7
"GO:0007100","mitotic centrosome separation","4/215","14/18860",0.285714285714286,25.063122923588,9.67172145594133,1.50306884565094e-05,0.000226388147122734,0.000191423972545539,"AURKA/NEK2/KIF11/CHEK1",4
"GO:0060623","regulation of chromosome condensation","4/215","14/18860",0.285714285714286,25.063122923588,9.67172145594133,1.50306884565094e-05,0.000226388147122734,0.000191423972545539,"NCAPG/CCNB1/NCAPH/NCAPG2",4
"GO:0010971","positive regulation of G2/M transition of mitotic cell cycle","5/215","29/18860",0.172413793103448,15.1242983159583,8.17384796030696,1.74616877737078e-05,0.000261389682011332,0.000221019748378865,"CCNB1/CDC25C/CDC25A/CHEK1/CDK1",5
"GO:0051781","positive regulation of cell division","8/215","99/18860",0.0808080808080808,7.08856001879258,6.52231190475176,1.76162263189848e-05,0.000262095074501969,0.000221616197594417,"RACGAP1/KIF23/AURKB/BIRC5/KIF14/CDCA8/ECT2/CDC6",8
"GO:0001833","inner cell mass cell proliferation","4/215","15/18860",0.266666666666667,23.3922480620155,9.31628190640044,2.03135248237871e-05,0.000295029765297861,0.000249464339941246,"CHEK1/GINS4/NCAPG2/GINS1",4
"GO:0034501","protein localization to kinetochore","4/215","15/18860",0.266666666666667,23.3922480620155,9.31628190640044,2.03135248237871e-05,0.000295029765297861,0.000249464339941246,"AURKB/TTK/CDK1/KNL1",4
"GO:0051081","nuclear membrane disassembly","4/215","15/18860",0.266666666666667,23.3922480620155,9.31628190640044,2.03135248237871e-05,0.000295029765297861,0.000249464339941246,"PLK1/CDC25A/CHEK1/CDK1",4
"GO:1903083","protein localization to condensed chromosome","4/215","15/18860",0.266666666666667,23.3922480620155,9.31628190640044,2.03135248237871e-05,0.000295029765297861,0.000249464339941246,"AURKB/TTK/CDK1/KNL1",4
"GO:0044774","mitotic DNA integrity checkpoint signaling","7/215","75/18860",0.0933333333333333,8.18728682170543,6.69710911473865,2.33483767325652e-05,0.000337100823831119,0.000285037797544864,"PLK1/ORC1/CHEK1/CDK1/TICRR/CDC6/CLSPN",7
"GO:0030397","membrane disassembly","4/215","16/18860",0.25,21.9302325581395,8.99383392287772,2.6843133000217e-05,0.000383024821757482,0.000323869133151279,"PLK1/CDC25A/CHEK1/CDK1",4
"GO:1902412","regulation of mitotic cytokinesis","4/215","16/18860",0.25,21.9302325581395,8.99383392287772,2.6843133000217e-05,0.000383024821757482,0.000323869133151279,"AURKB/BIRC5/CDCA8/ECT2",4
"GO:1902751","positive regulation of cell cycle G2/M phase transition","5/215","32/18860",0.15625,13.7063953488372,7.72489570438989,2.87980406705552e-05,0.000408530344396248,0.000345435493967492,"CCNB1/CDC25C/CDC25A/CHEK1/CDK1",5
"GO:0000079","regulation of cyclin-dependent protein serine/threonine kinase activity","5/215","33/18860",0.151515151515152,13.2910500352361,7.58844449089542,3.36274870948516e-05,0.000474283633014092,0.000401033615490777,"CDKN3/CDC25C/CDC25A/CDC6/PKMYT1",5
"GO:0040020","regulation of meiotic nuclear division","5/215","35/18860",0.142857142857143,12.531561461794,7.33249902967314,4.51519133619716e-05,0.000633164762087418,0.000535376589167963,"CDC20/RAD51AP1/KNL1/ZWINT/TRIP13",5
"GO:0007095","mitotic G2 DNA damage checkpoint signaling","5/215","36/18860",0.138888888888889,12.1834625322997,7.2122196822611,5.19511828565826e-05,0.00072434792097178,0.000612477103151289,"PLK1/CHEK1/CDK1/TICRR/CLSPN",5
"GO:0000132","establishment of mitotic spindle orientation","5/215","37/18860",0.135135135135135,11.8541797611565,7.09660801071072,5.95150270272837e-05,0.000825094692878252,0.000697664192425097,"CENPA/PLK1/MAD2L1/NDC80/SAPCD2",5
"GO:1902410","mitotic cytokinetic process","5/215","38/18860",0.131578947368421,11.5422276621787,6.98535803504328,6.79010856166668e-05,0.000936037564433146,0.000791472660176431,"CEP55/AURKB/KIF20A/ECT2/IQGAP3",5
"GO:0030866","cortical actin cytoskeleton organization","5/215","39/18860",0.128205128205128,11.2462731067382,6.8781912925407,7.71691671696878e-05,0.00105191490443597,0.000889453499868204,"RACGAP1/ECT2/ANLN/IQGAP3/VIL1",5
"GO:0032147","activation of protein kinase activity","5/215","39/18860",0.128205128205128,11.2462731067382,6.8781912925407,7.71691671696878e-05,0.00105191490443597,0.000889453499868204,"TPX2/KIF14/ECT2/CLSPN/CALCA",5
"GO:0045859","regulation of protein kinase activity","11/215","234/18860",0.047008547008547,4.12363347247068,5.16304088076714,8.09742308642842e-05,0.00109765068504919,0.000928125687099398,"TPX2/CDKN3/CDC25C/KIF14/CDC25A/CENPE/ECT2/CDC6/CLSPN/PKMYT1/CALCA",11
"GO:0034502","protein localization to chromosome","8/215","123/18860",0.0650406504065041,5.70542635658915,5.62210399173663,8.39230769204989e-05,0.00113133871649733,0.00095661082154218,"CENPA/PLK1/BUB1B/AURKB/ESCO2/TTK/CDK1/KNL1",8
"GO:0036297","interstrand cross-link repair","5/215","43/18860",0.116279069767442,10.2001081665765,6.485587681387,0.000124332596747443,0.00165783521595518,0.00140179336638143,"RAD51AP1/RAD51/NEIL3/FANCI/HROB",5
"GO:0035825","homologous recombination","6/215","68/18860",0.0882352941176471,7.74008207934337,5.97902688360346,0.000124337641196638,0.00165783521595518,0.00140179336638143,"RAD51AP1/RAD51/TOP2A/RAD54L/TRIP13/UHRF1",6
"GO:0001832","blastocyst growth","4/215","24/18860",0.166666666666667,14.6201550387597,7.16953018479327,0.00014589939966816,0.00193475290864299,0.00163594292534093,"CHEK1/GINS4/NCAPG2/GINS1",4
"GO:0030638","polyketide metabolic process","3/215","10/18860",0.3,26.3162790697674,8.59887356940488,0.000165255461191454,0.00216786734036101,0.00183305435164261,"AKR1C2/AKR1B10/AKR1C1",3
"GO:0044598","doxorubicin metabolic process","3/215","10/18860",0.3,26.3162790697674,8.59887356940488,0.000165255461191454,0.00216786734036101,0.00183305435164261,"AKR1C2/AKR1B10/AKR1C1",3
"GO:0031145","anaphase-promoting complex-dependent catabolic process","4/215","25/18860",0.16,14.0353488372093,7.00337233363427,0.000172145454400827,0.00224617598255624,0.0018992687341718,"PLK1/CDC20/UBE2S/UBE2C",4
"GO:0043549","regulation of kinase activity","11/215","256/18860",0.04296875,3.76925872093023,4.79046548737634,0.000178719575039409,0.00231955193136254,0.00196131224567324,"TPX2/CDKN3/CDC25C/KIF14/CDC25A/CENPE/ECT2/CDC6/CLSPN/PKMYT1/CALCA",11
"GO:0045835","negative regulation of meiotic nuclear division","3/215","11/18860",0.272727272727273,23.9238900634249,8.16653577217724,0.000225317397469169,0.0029088595228824,0.00245960511857183,"KNL1/ZWINT/TRIP13",3
"GO:0071824","protein-DNA complex organization","11/215","265/18860",0.0415094339622641,3.64124616059675,4.64976592742002,0.000240923104466537,0.00309395986788606,0.00261611792107708,"CENPA/HJURP/DLGAP5/RAD51/CDC45/CENPW/CENPE/CENPI/CDT1/HMGA1/CENPF",11
"GO:2000242","negative regulation of reproductive process","6/215","78/18860",0.0769230769230769,6.74776386404293,5.46226375862121,0.000265495314965307,0.00339166789798613,0.00286784688526868,"TTK/KNL1/ZWINT/TRIP13/PKMYT1/PAEP",6
"GO:0070601","centromeric sister chromatid cohesion","3/215","12/18860",0.25,21.9302325581395,7.78806211579908,0.000297900778671154,0.00378582239561258,0.00320112678835231,"BUB1B/BUB1/SGO1",3
"GO:0043085","positive regulation of catalytic activity","12/215","318/18860",0.0377358490566038,3.31022378236068,4.46155949130694,0.000303673147819043,0.00383918383771225,0.00324624690332874,"PLK1/TPX2/ARHGAP11A/CDC20/DSCC1/KIF14/UBE2S/CENPE/ECT2/UBE2C/CLSPN/CALCA",12
"GO:0034116","positive regulation of heterotypic cell-cell adhesion","3/215","13/18860",0.230769230769231,20.2432915921288,7.45293421723066,0.000384021145314628,0.00482995667302934,0.00408400132835958,"FGB/FGA/FGG",3
"GO:0030865","cortical cytoskeleton organization","5/215","55/18860",0.0909090909090909,7.97463002114165,5.56241281640484,0.000402222932946271,0.00503294336609693,0.00425563804898618,"RACGAP1/ECT2/ANLN/IQGAP3/VIL1",5
"GO:0010458","exit from mitosis","4/215","31/18860",0.129032258064516,11.3188297074269,6.17440383360379,0.000405872519898381,0.0050526987171023,0.0042723423147198,"BIRC5/UBE2S/UBE2C/ANLN",4
"GO:0003018","vascular process in circulatory system","11/215","283/18860",0.03886925795053,3.40964746486975,4.38587553502174,0.000421246998421272,0.00521747551344113,0.00441167040825911,"SLC7A5/SLC2A1/KCNMB4/CALCA/ABCC2/SLC16A1/GCLC/CPS1/FGB/FGA/FGG",11
