"ENSEMBL","ENTREZID","SYMBOL"
"ENSG00000144331","151126","ZNF385B"
"ENSG00000163239","126668","TDRD10"
"ENSG00000019582","972","CD74"
"ENSG00000177191","374907","B3GNT8"
"ENSG00000174502","115019","SLC26A9"
"ENSG00000165197","2277","VEGFD"
"ENSG00000166961","219995","MS4A15"
"ENSG00000168447","6338","SCNN1B"
"ENSG00000154310","23043","TNIK"
"ENSG00000227195","284801","MIR663AHG"
"ENSG00000227195","124904967","LOC124904967"
"ENSG00000162551","249","ALPL"
"ENSG00000185303","729238","SFTPA2"
"ENSG00000164379","94234","FOXQ1"
"ENSG00000186377","260293","CYP4X1"
"ENSG00000118596","9194","SLC16A7"
"ENSG00000142611","63976","PRDM16"
"ENSG00000008853","23221","RHOBTB2"
"ENSG00000231389","3113","HLA-DPA1"
"ENSG00000163751","1359","CPA3"
"ENSG00000188039","284434","NWD1"
"ENSG00000114455","11148","HHLA2"
"ENSG00000168497","8436","CAVIN2"
"ENSG00000136881","570","BAAT"
"ENSG00000140254","90527","DUOXA1"
"ENSG00000184985","57537","SORCS2"
"ENSG00000183742","346389","MACC1"
"ENSG00000168878","6439","SFTPB"
"ENSG00000184828","201501","ZBTB7C"
"ENSG00000197253","64499","TPSB2"
"ENSG00000080493","8671","SLC4A4"
"ENSG00000125571","27178","IL37"
"ENSG00000134216","27159","CHIA"
"ENSG00000204287","3122","HLA-DRA"
"ENSG00000248485","654790","PCP4L1"
"ENSG00000130558","10439","OLFM1"
"ENSG00000106809","4969","OGN"
"ENSG00000154175","25890","ABI3BP"
"ENSG00000198502","3127","HLA-DRB5"
"ENSG00000165816","340706","VWA2"
"ENSG00000109956","27087","B3GAT1"
"ENSG00000214491","730005","SEC14L6"
"ENSG00000170890","5319","PLA2G1B"
"ENSG00000169116","25849","PARM1"
"ENSG00000007402","9254","CACNA2D2"
"ENSG00000082497","56256","SERTAD4"
"ENSG00000108846","8714","ABCC3"
"ENSG00000094963","2327","FMO2"
"ENSG00000186715","11223","MST1L"
"ENSG00000178343","152573","SHISA3"
"ENSG00000125798","3170","FOXA2"
"ENSG00000168907","255189","PLA2G4F"
"ENSG00000169583","9022","CLIC3"
"ENSG00000137857","53905","DUOX1"
"ENSG00000160188","89765","RSPH1"
"ENSG00000167741","124975","GGT6"
"ENSG00000189377","284340","CXCL17"
"ENSG00000004838","51364","ZMYND10"
"ENSG00000133067","59352","LGR6"
"ENSG00000164161","64399","HHIP"
"ENSG00000166592","6236","RRAD"
"ENSG00000236039","101927630","LINC02889"
"ENSG00000204305","177","AGER"
"ENSG00000116690","10216","PRG4"
"ENSG00000123838","722","C4BPA"
"ENSG00000159212","54102","CLIC6"
"ENSG00000198203","6819","SULT1C2"
"ENSG00000137033","90865","IL33"
"ENSG00000163898","200879","LIPH"
"ENSG00000111452","283383","ADGRD1"
"ENSG00000187908","1755","DMBT1"
"ENSG00000179813","144809","FAM216B"
"ENSG00000125848","23767","FLRT3"
"ENSG00000125872","164312","LRRN4"
"ENSG00000166897","114794","ELFN2"
"ENSG00000277639","105371267","CHD9NB"
"ENSG00000127954","79689","STEAP4"
"ENSG00000259974","140828","LINC00261"
"ENSG00000145824","9547","CXCL14"
"ENSG00000121769","2170","FABP3"
"ENSG00000076864","5909","RAP1GAP"
"ENSG00000156966","93010","B3GNT7"
"ENSG00000168484","6440","SFTPC"
"ENSG00000176842","10265","IRX5"
"ENSG00000168743","255743","NPNT"
"ENSG00000166292","55273","TMEM100"
"ENSG00000124107","6590","SLPI"
"ENSG00000162383","6512","SLC1A7"
"ENSG00000197635","1803","DPP4"
"ENSG00000078081","27074","LAMP3"
"ENSG00000182489","402415","XKRX"
"ENSG00000090530","55214","P3H2"
"ENSG00000148702","3026","HABP2"
"ENSG00000149021","7356","SCGB1A1"
"ENSG00000109906","7704","ZBTB16"
"ENSG00000172264","140733","MACROD2"
"ENSG00000070526","55808","ST6GALNAC1"
"ENSG00000154146","4900","NRGN"
"ENSG00000204385","80736","SLC44A4"
"ENSG00000091583","350","APOH"
"ENSG00000163817","54716","SLC6A20"
"ENSG00000149043","90019","SYT8"
"ENSG00000198729","81706","PPP1R14C"
"ENSG00000007174","1770","DNAH9"
"ENSG00000101443","10406","WFDC2"
"ENSG00000161798","362","AQP5"
"ENSG00000066405","51208","CLDN18"
"ENSG00000157551","3772","KCNJ15"
"ENSG00000136155","8796","SCEL"
"ENSG00000001626","1080","CFTR"
"ENSG00000150893","341640","FREM2"
"ENSG00000124237","128602","CIMIP1"
"ENSG00000099937","3053","SERPIND1"
"ENSG00000156076","11197","WIF1"
"ENSG00000120885","1191","CLU"
"ENSG00000163207","3713","IVL"
"ENSG00000133063","1118","CHIT1"
"ENSG00000169550","143662","MUC15"
"ENSG00000255545","283177","B3GAT1-DT"
"ENSG00000102287","2564","GABRE"
"ENSG00000065618","1308","COL17A1"
"ENSG00000179869","154664","ABCA13"
"ENSG00000169562","2705","GJB1"
"ENSG00000166959","83661","MS4A8"
"ENSG00000106278","5803","PTPRZ1"
"ENSG00000189058","347","APOD"
"ENSG00000168874","84913","ATOH8"
"ENSG00000101842","340547","VSIG1"
"ENSG00000198691","24","ABCA4"
"ENSG00000165449","220963","SLC16A9"
"ENSG00000165376","9075","CLDN2"
"ENSG00000096088","5225","PGC"
"ENSG00000125740","2354","FOSB"
"ENSG00000137673","4316","MMP7"
"ENSG00000102854","10232","MSLN"
"ENSG00000171747","3960","LGALS4"
"ENSG00000229807","7503","XIST"
