"logFC","AveExpr","t","P.Value","adj.P.Val","B","gene"
-1.1069637758657,1.68191064258462,-13.0144755439753,6.80847834026375e-34,6.03768363642105e-32,66.1606170826794,"ENSG00000165084"
-1.28420288426023,1.82381842574534,-12.9919246754019,8.54044608369075e-34,7.47076487284658e-32,65.9361855850438,"ENSG00000158488"
-1.19586665903703,5.46658210652192,-12.9871942004729,8.95273806321364e-34,7.79614109180388e-32,65.8894943494891,"ENSG00000162591"
-1.78408139557161,4.79426341509196,-12.9509812067864,1.28402198486566e-33,1.10323168939657e-31,65.5323561380358,"ENSG00000224189"
-1.3410110164355,1.98034076148208,-12.9387494868698,1.45018065361184e-33,1.23501728615084e-31,65.4118432493048,"ENSG00000134917"
-1.5320694269253,8.46662229735911,-12.9313904273427,1.56029239608446e-33,1.30578236368419e-31,65.3393670409613,"ENSG00000129538"
-1.11881180878553,6.17032361706323,-12.9089972705511,1.94923757335416e-33,1.61037011829413e-31,65.1189600569384,"ENSG00000114446"
-1.32504641180938,5.86322706234067,-12.8713116595277,2.83358496725897e-33,2.29337371583891e-31,64.7484908835677,"ENSG00000164741"
-1.5142439851898,7.02948840714307,-12.8710597954358,2.84067306820054e-33,2.29337371583891e-31,64.7460168558157,"ENSG00000143416"
-1.51483194520793,2.29983425877986,-12.8708304414821,2.84714303642322e-33,2.29337371583891e-31,64.7437639644852,"ENSG00000248801"
-1.39518468475712,2.88604847992383,-12.8526960964551,3.40801157422535e-33,2.70015080954608e-31,64.5657018031495,"ENSG00000105376"
-1.16919677542897,4.35844784175528,-12.8274688202673,4.37563909446014e-33,3.42469048478152e-31,64.3182154549016,"ENSG00000158352"
-1.07425736517945,1.80799825429316,-12.772747329919,7.50121827727621e-33,5.82383741912866e-31,63.7844372658241,"ENSG00000189045"
-1.65974669451532,3.15611769190649,-12.7244582902453,1.21082833663197e-32,9.28878309673381e-31,63.3103504344311,"ENSG00000166448"
-1.29638318898884,5.47868370587881,-12.6692177703132,2.08620189249671e-32,1.5778526319266e-30,62.7716713735774,"ENSG00000086289"
-1.0721433455643,5.32195357484584,-12.6690601752738,2.08943861873169e-32,1.5778526319266e-30,62.7701363928915,"ENSG00000114737"
-1.59618012251953,2.17036179794302,-12.6595652830502,2.29395964603301e-32,1.72555750494592e-30,62.6776749055316,"ENSG00000225342"
-1.17204463710938,4.71540046596533,-12.6532419483446,2.44110283715188e-32,1.82912403286124e-30,62.6161189428686,"ENSG00000144668"
-1.1814504613318,8.25375018547465,-12.6010367692588,4.07590868259582e-32,3.03059487122855e-30,62.1085536376052,"ENSG00000119655"
-1.24218158005053,6.58529979118802,-12.5726225215903,5.38511706514916e-32,3.95836817883892e-30,61.8327761737863,"ENSG00000076716"
-1.17296139619414,2.16472672551158,-12.5332124167799,7.91300261974814e-32,5.7079912927228e-30,61.4517264679525,"ENSG00000168329"
-2.85658323785972,7.91531702898919,-12.5208551416517,8.93741845605638e-32,6.42298043094728e-30,61.331218084457,"ENSG00000162896"
-1.01448308845541,7.71865013273391,-12.5185158888728,9.14413482463311e-32,6.54720053443731e-30,61.308580592537,"ENSG00000079308"
-2.14326009445919,4.9604381400452,-12.5151700784147,9.44809864445237e-32,6.73987612526026e-30,61.2762064470501,"ENSG00000173467"
-1.43701605311784,4.50838050124062,-12.512207351752,9.72564581605796e-32,6.91235973956002e-30,61.2475429999428,"ENSG00000275410"
-1.25779531498349,2.26612787648907,-12.5053401070555,1.03993053967315e-31,7.36407955786129e-30,61.1812376719739,"ENSG00000158481"
-1.08966627281733,2.36219699660765,-12.4944592192129,1.15429186619694e-31,8.14407677274423e-30,61.0779144373174,"ENSG00000166428"
-1.25992609640958,3.18640128458488,-12.4819462514378,1.30694296154929e-31,9.12123513814834e-30,60.9549902998594,"ENSG00000111879"
-1.58628391010573,4.23886641179492,-12.4155931749113,2.49500619575904e-31,1.70436253626904e-29,60.314884433437,"ENSG00000126016"
-1.87142672908213,2.3993875810568,-12.3856171415661,3.33938705489996e-31,2.27313487835655e-29,60.0263274236672,"ENSG00000116031"
